detector,n_normal,n_blocked,roc_auc,pr_auc,f1,precision,recall,threshold,delay_mean_s,delay_median_s,n_blocked_detected,n_blocked_total,delay_after_transition_mean_s,delay_after_transition_median_s,n_detected_after_transition,delay_sustained_mean_s,delay_sustained_median_s,n_detected_sustained
PeakTmaxRule,12,8,0.84375,0.7098214285714286,0.8,0.8571428571428571,0.75,47.5,81.14285714285714,57.0,7,8,208.85714285714286,200.0,7,82.71428571428571,57.0,7
IsolationForest,12,8,0.8645833333333334,0.7316964285714286,0.875,0.875,0.875,0.5271134088815235,430.1666666666667,433.0,6,8,430.1666666666667,433.0,6,430.1666666666667,433.0,6
OneClassSVM,12,8,0.8541666666666666,0.777281746031746,0.8235294117647058,0.7777777777777778,0.875,0.1897144694129921,430.1666666666667,433.0,6,8,430.1666666666667,433.0,6,430.1666666666667,433.0,6
LSTMVAE,12,8,0.875,0.7371909340659341,0.875,0.875,0.875,0.41995343565940857,85.71428571428571,0.0,7,8,256.85714285714283,200.0,7,126.28571428571429,0.0,7
