fold,session_id,condition,t_s,score
0,S001_2026-06-01_toshiba_normal_22C_a,normal,73,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,74,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,75,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,76,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,77,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,78,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,79,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,80,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,81,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,82,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,83,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,84,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,85,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,86,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,87,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,88,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,89,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,90,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,91,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,92,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,93,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,94,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,95,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,96,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,97,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,98,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,99,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,100,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,101,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,102,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,103,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,104,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,105,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,106,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,107,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,108,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,109,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,110,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,111,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,112,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,113,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,114,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,115,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,116,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,117,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,118,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,119,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,120,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,121,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,122,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,123,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,124,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,125,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,126,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,127,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,128,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,129,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,130,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,131,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,132,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,133,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,134,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,135,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,136,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,137,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,138,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,139,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,140,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,141,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,142,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,143,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,144,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,145,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,146,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,147,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,148,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,149,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,150,20.11565399169922
0,S001_2026-06-01_toshiba_normal_22C_a,normal,151,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,152,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,153,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,154,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,155,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,156,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,157,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,158,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,159,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,160,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,161,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,162,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,163,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,164,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,165,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,166,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,167,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,168,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,169,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,170,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,171,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,172,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,173,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,174,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,175,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,176,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,177,19.992748260498047
0,S001_2026-06-01_toshiba_normal_22C_a,normal,178,19.992748260498047
